Date,Appu Art & Handicrafts,GANGADHAR RATANLAL FURNITURE SHOWROOM,HOME SENSE INTERNATIONAL ,Manglam,Shree Sai Art Palace,Shree Sai Industries,SHRI HARI IRON UDHYOG,Vintej Home,Vishwakarma Antique,Vishwakarma Art Palace,WOODENMOOD
03-01-2019,17,9,58,12,4,0,19,5,0,0,0
10-01-2019,12,12,54,1,8,0,8,15,0,2,2
17-01-2019,13,6,56,0,4,0,0,22,0,5,2
24-01-2019,19,8,55,0,9,0,1,16,0,3,0
31-01-2019,19,13,33,4,9,3,9,22,0,2,0
07-02-2019,22,11,29,4,4,0,21,12,2,3,1
14-02-2019,17,11,45,1,4,0,16,13,4,4,1
21-02-2019,11,11,27,4,11,4,23,25,1,3,4
28-02-2019,4,21,16,7,13,8,34,10,3,2,2
07-03-2019,20,10,32,19,8,7,28,18,1,2,2
14-03-2019,34,22,18,5,9,4,25,31,2,3,4
21-03-2019,29,20,27,7,15,9,16,28,1,4,2
28-03-2019,15,16,23,8,17,15,11,28,2,2,3
04-04-2019,50,19,21,3,9,5,7,17,4,3,4
11-04-2019,39,11,22,1,8,9,1,25,2,2,2
18-04-2019,20,19,13,0,7,6,17,22,6,2,3
25-04-2019,24,25,15,3,10,2,6,25,8,3,4
02-05-2019,24,12,32,9,8,10,13,23,0,5,6
09-05-2019,22,15,12,11,7,6,22,8,4,11,4
16-05-2019,14,15,20,11,3,4,14,16,3,6,0
23-05-2019,7,14,13,14,6,4,14,22,1,6,3
30-05-2019,13,30,42,5,4,6,6,15,1,6,2
06-06-2019,18,51,51,11,5,4,21,12,3,12,2
13-06-2019,11,11,30,9,2,2,14,7,0,9,14
20-06-2019,11,7,36,12,3,7,32,11,0,6,3
27-06-2019,12,8,38,3,3,5,15,4,1,9,3
04-07-2019,9,21,45,6,5,6,6,2,0,4,2
11-07-2019,6,14,59,7,10,4,4,3,0,3,0
18-07-2019,6,11,69,7,10,4,3,1,2,8,1
25-07-2019,10,7,31,6,17,3,9,5,1,3,0
01-08-2019,4,17,16,5,10,2,5,8,1,1,4
08-08-2019,3,10,30,4,33,3,2,3,2,2,1
15-08-2019,3,14,7,3,19,4,0,6,2,1,6
22-08-2019,5,12,2,4,15,4,4,7,1,4,2
29-08-2019,7,11,1,8,19,0,14,3,0,4,5
05-09-2019,8,7,12,9,10,3,43,11,5,4,7
12-09-2019,11,4,18,11,6,3,9,6,3,5,1
19-09-2019,11,6,27,5,2,13,16,8,4,4,7
26-09-2019,20,14,20,7,0,4,8,8,0,2,0
03-10-2019,21,21,6,8,0,5,33,16,0,11,3
10-10-2019,13,22,14,8,4,7,26,9,1,6,6
17-10-2019,15,9,21,4,1,7,15,10,2,5,3
24-10-2019,0,2,0,3,0,2,1,2,0,2,0
31-10-2019,3,2,0,2,0,0,3,6,1,5,0
07-11-2019,1,2,6,4,0,0,3,1,0,2,0
14-11-2019,1,1,5,3,0,0,5,1,0,3,0
21-11-2019,0,0,7,1,0,0,5,1,0,1,0
28-11-2019,0,0,6,5,0,0,0,3,0,2,0
05-12-2019,1,0,3,0,0,0,0,4,0,0,0
12-12-2019,1,2,5,3,0,0,1,1,0,0,0
19-12-2019,0,0,6,4,0,0,0,0,1,0,0
26-12-2019,2,0,7,0,0,0,1,0,2,1,0
02-01-2020,2,2,3,1,0,0,0,0,0,1,1
09-01-2020,0,3,1,0,0,0,1,2,0,0,1
16-01-2020,2,1,2,1,0,0,0,1,0,1,1
23-01-2020,3,2,2,0,0,1,1,3,0,0,0
30-01-2020,1,0,2,2,0,0,0,1,1,1,0
06-02-2020,1,0,1,0,0,1,3,0,0,1,0
13-02-2020,0,0,1,0,0,0,2,2,0,2,0
20-02-2020,0,0,1,0,0,0,3,0,2,0,0
27-02-2020,0,0,4,0,0,0,1,1,1,0,0
05-03-2020,0,0,5,0,0,0,1,0,1,1,0
